ssid,bssid,signal,x,y
B424,34:0A:33:7E:31:5C,-84.0,10,4
B424,34:0A:33:7E:31:5C,-84.0,10,4
B424,34:0A:33:7E:31:5C,-82.0,10,4
B424,34:0A:33:7E:31:5C,-82.0,14,2
B424,34:0A:33:7E:31:5C,-84.0,14,2
B424,34:0A:33:7E:31:5C,-82.0,14,2
B424,34:0A:33:7E:31:5C,-82.0,14,3
B424,34:0A:33:7E:31:5C,-84.0,14,3
B424,34:0A:33:7E:31:5C,-81.0,14,3
B424,34:0A:33:7E:31:5C,-82.0,15,1
B424,34:0A:33:7E:31:5C,-80.0,15,1
B424,34:0A:33:7E:31:5C,-81.0,15,1
B424,34:0A:33:7E:31:5C,-86.0,16,1
B424,34:0A:33:7E:31:5C,-84.0,16,1
B424,34:0A:33:7E:31:5C,-84.0,16,1
B424,34:0A:33:7E:31:5C,-82.0,17,3
B424,34:0A:33:7E:31:5C,-83.0,17,3
B424,34:0A:33:7E:31:5C,-82.0,17,3
B424,34:0A:33:7E:31:5C,-88.0,18,1
B424,34:0A:33:7E:31:5C,-86.0,18,1
B424,34:0A:33:7E:31:5C,-86.0,18,1
B424,34:0A:33:7E:31:5C,-79.0,19,2
B424,34:0A:33:7E:31:5C,-74.0,19,2
B424,34:0A:33:7E:31:5C,-76.0,19,2
B424,34:0A:33:7E:31:5C,-75.0,23,3
B424,34:0A:33:7E:31:5C,-73.0,23,3
B424,34:0A:33:7E:31:5C,-74.0,23,3
B424,34:0A:33:7E:31:5C,-74.0,23,5
B424,34:0A:33:7E:31:5C,-74.0,23,5
B424,34:0A:33:7E:31:5C,-72.0,23,5
B424,34:0A:33:7E:31:5C,-72.0,24,3
B424,34:0A:33:7E:31:5C,-74.0,24,3
B424,34:0A:33:7E:31:5C,-74.0,24,3
B424,34:0A:33:7E:31:5C,-74.0,24,4
B424,34:0A:33:7E:31:5C,-75.0,24,4
B424,34:0A:33:7E:31:5C,-73.0,24,4
B424,34:0A:33:7E:31:5C,-75.0,24,5
B424,34:0A:33:7E:31:5C,-78.0,24,5
B424,34:0A:33:7E:31:5C,-76.0,24,5
B424,34:0A:33:7E:31:5C,-11.0,25,2
B424,34:0A:33:7E:31:5C,-14.0,25,2
B424,34:0A:33:7E:31:5C,-17.0,25,2
B424,34:0A:33:7E:31:5C,-70.0,25,4
B424,34:0A:33:7E:31:5C,-72.0,25,4
B424,34:0A:33:7E:31:5C,-72.0,25,4
B424,34:0A:33:7E:31:5C,-72.0,26,3
B424,34:0A:33:7E:31:5C,-72.0,26,3
B424,34:0A:33:7E:31:5C,-72.0,26,3
B424,34:0A:33:7E:31:5C,-76.0,26,5
B424,34:0A:33:7E:31:5C,-76.0,26,5
B424,34:0A:33:7E:31:5C,-74.0,26,5
B424,34:0A:33:7E:31:5C,-75.0,27,1
B424,34:0A:33:7E:31:5C,-72.0,27,1
B424,34:0A:33:7E:31:5C,-74.0,27,1
B424,34:0A:33:7E:31:5C,-73.0,27,2
B424,34:0A:33:7E:31:5C,-71.0,27,2
B424,34:0A:33:7E:31:5C,-72.0,27,2
B424,34:0A:33:7E:31:5C,-72.0,27,4
B424,34:0A:33:7E:31:5C,-70.0,27,4
B424,34:0A:33:7E:31:5C,-72.0,27,4
B424,34:0A:33:7E:31:5C,-71.0,28,3
B424,34:0A:33:7E:31:5C,-73.0,28,3
B424,34:0A:33:7E:31:5C,-71.0,28,3
B424,34:0A:33:7E:31:5C,-69.0,28,4
B424,34:0A:33:7E:31:5C,-73.0,28,4
B424,34:0A:33:7E:31:5C,-71.0,28,4
B424,34:0A:33:7E:31:5C,-77.0,29,2
B424,34:0A:33:7E:31:5C,-79.0,29,2
B424,34:0A:33:7E:31:5C,-77.0,29,2
B424,34:0A:33:7E:31:5C,-72.0,30,2
B424,34:0A:33:7E:31:5C,-74.0,30,2
B424,34:0A:33:7E:31:5C,-74.0,30,2
B424,34:0A:33:7E:31:5C,-72.0,30,4
B424,34:0A:33:7E:31:5C,-76.0,30,4
B424,34:0A:33:7E:31:5C,-68.0,30,4
